Ayala Malls,Lat/Long
Glorietta,"14.551259795062593, 121.02551958191961"
Greenbelt,"14.552683323034115, 121.02193577296997"
Circuit Makati,"14.5731095061514, 121.01976434144417"
Market! Market!,"14.550358333216742, 121.05611066837103"
Serendra Piazza,"14.550349995389322, 121.05429141033689"
Bonifacio High Street,"14.550812677701247, 121.05043445081473"
Ayala Malls Marikina,"14.649002370343064, 121.11543572522486"
Ayala Malls Manila Bay,"14.523007651117412, 120.98972943923249"
TriNoma,"14.653490324047722, 121.03340208375413"
Fairview Terraces,"14.736027404665778, 121.06035002608326"
U.P. Town Center,"14.65102723412677, 121.07522075095166"
Cloverleaf,"14.65517475385225, 121.00134138322379"
Ayala Malls Feliz,"14.619668108278718, 121.09327162608187"
Ayala Malls the 30th,"14.580769302173747, 121.06401678562445"
Vertis North,"14.65210388446386, 121.03599563959297"
One Ayala ,"14.550633189836615, 121.02785925272674"
Alabang Town Center,"14.42341351809319, 121.02982340546053"
